,mask,coverage,factor
0,ellipse,90,0.1
1,ellipse,30,0.12
2,random_squares_small,90,0.14
3,organic,30,0.36
4,rectangle,10,0.4
5,organic,90,0.09
6,random_squares_small,30,0.72
7,triangle,70,0.13
8,circle,90,0.09
9,rows,70,0.13
10,columns,70,0.1
11,random_squares_large,90,0.17
12,random_squares_large,30,0.7
13,circle,30,0.11
14,rows,30,0.27
15,columns,30,0.1
16,circle,70,0.1
17,columns,90,0.09
18,rows,90,0.1
19,random_squares_large,70,0.33
20,triangle,90,0.1
21,organic,70,0.14
22,random_squares_small,70,0.3
23,triangle,30,0.18
24,rectangle,50,0.12
25,ellipse,70,0.11
26,ellipse,50,0.13
27,columns,10,0.16
28,rows,10,0.45
29,circle,50,0.1
30,random_squares_large,50,0.46
31,organic,50,0.19
32,triangle,10,0.29
33,random_squares_small,50,0.5
34,rectangle,70,0.11
35,organic,10,0.6
36,rectangle,90,0.1
37,rectangle,30,0.15
38,triangle,50,0.16
39,random_squares_small,10,0.88
40,columns,50,0.1
41,rows,50,0.18
42,random_squares_large,10,0.9
43,circle,10,0.19
44,ellipse,10,0.17
